total,pde,boundary,initial
1.122084856033325195e-01,4.901312664151191711e-02,7.257067481987178326e-04,6.246965751051902771e-02
1.080974191427230835e-01,5.210015922784805298e-02,7.192768389359116554e-04,5.527798458933830261e-02
1.137054413557052612e-01,4.672186821699142456e-02,1.258486532606184483e-03,6.572508811950683594e-02
1.043951511383056641e-01,4.388156533241271973e-02,1.339051639661192894e-03,5.917453020811080933e-02
1.089349687099456787e-01,4.498693346977233887e-02,9.241148363798856735e-04,6.302391737699508667e-02
1.073769330978393555e-01,5.090821534395217896e-02,1.055211527273058891e-03,5.541350319981575012e-02
1.119911968708038330e-01,5.610492825508117676e-02,1.202923245728015900e-03,5.468335002660751343e-02
1.236666813492774963e-01,4.795134067535400391e-02,1.064130919985473156e-03,7.465121150016784668e-02
1.172603964805603027e-01,4.885535687208175659e-02,2.119343727827072144e-03,6.628569960594177246e-02
1.092722266912460327e-01,4.140789061784744263e-02,1.474015880376100540e-03,6.639032065868377686e-02
1.139316558837890625e-01,4.582630842924118042e-02,8.183214231394231319e-04,6.728702783584594727e-02
1.160101071000099182e-01,5.169527605175971985e-02,7.763187750242650509e-04,6.353851407766342163e-02
1.104190051555633545e-01,4.567065834999084473e-02,8.156272815540432930e-04,6.393272429704666138e-02
1.206662878394126892e-01,5.082412064075469971e-02,8.576649706810712814e-04,6.898450106382369995e-02
1.101610213518142700e-01,4.924937337636947632e-02,1.462515210732817650e-03,5.944913625717163086e-02
1.119159683585166931e-01,5.170849338173866272e-02,1.302902353927493095e-03,5.890457332134246826e-02
9.882408380508422852e-02,4.797057062387466431e-02,5.749636329710483551e-04,5.027855187654495239e-02
1.122142970561981201e-01,5.005663633346557617e-02,6.637515034526586533e-04,6.149391457438468933e-02
1.117418184876441956e-01,5.331949144601821899e-02,5.377738270908594131e-04,5.788455158472061157e-02
1.002329736948013306e-01,4.364039748907089233e-02,1.093905535526573658e-03,5.549866706132888794e-02
1.032646149396896362e-01,4.551038891077041626e-02,1.555160386487841606e-03,5.619907006621360779e-02
1.130107492208480835e-01,5.155114457011222839e-02,1.345300115644931793e-03,6.011430174112319946e-02
1.066269874572753906e-01,4.661767929792404175e-02,8.314729784615337849e-04,5.917783454060554504e-02
